Board of Directors

The highest ranked candidate gets the highest score; thus a score of 1 indicates the candidate was least preferred.

Ballot	Amari Atkins	Briana Brock	Carlos Casten	Danna Dunn	Ed Ellis	Frances Flynn	Gunnar Gardsen	Helen Hurst	Ivan Ishutin	Jada Jackson	Kai Kerr	Laura Logan	Marco Mendoza	Nala Nolan	Otto Osborn	Piper Peck	Quentin Quag	Rose Rollins	Sean Scott	Talia Turner	Write-in 1	Write-in 2	Write-in 3	Write-in 4	Write-in 5	Write-in 6	Write-in 7	Write-in 8	Write-in 9	Write-in 10	Abstain
78	16	12	15	10	17	18	20	19	14	13	11	8	9	7	6	1	4	3	2	5											
79	4	2	3	1	5	6	7	8	9	10	12	13	11	14	15	19	20	18	16	17											
80	18	14	15	13	19	20	17	16	12	11	10	8	9	7	6	2	4	3	1	5											
81	17	19	18	20	16	15	14	13	12	11	10	8	9	7	6	2	5	3	1	4											
82	4	2	3	1	5	6	7	8	9	10	11	13	12	14	15	18	16	19	17	20											
83	4	2	3	1	5	6	7	13	18	20	19	16	17	15	14	9	11	10	8	12											
84	4	2	3	1	5	6	7	8	14	19	18	17	20	16	15	9	10	12	11	13											
85	18	12	15	9	19	17	20	16	13	14	10	8	11	7	6	1	3	4	2	5											
86	4	2	3	1	5	7	6	8	15	16	17	19	13	20	18	11	14	10	9	12											
87	4	2	3	1	5	6	7	8	13	15	17	20	16	19	18	10	11	12	9	14											
88	4	2	3	1	5	6	7	8	9	10	11	13	12	14	15	17	16	18	20	19											
89	4	2	3	1	5	6	7	8	9	10	11	14	12	15	17	16	13	19	18	20											
90	4	2	3	1	5	7	6	8	19	18	20	17	14	16	15	11	13	10	9	12											
91	4	2	3	1	5	6	7	8	9	10	13	18	16	19	20	12	11	15	14	17											
92	4	2	3	1	5	6	7	8	9	10	11	13	12	14	15	17	16	20	18	19											
93	17	19	20	18	16	15	14	13	12	11	10	8	9	7	6	1	4	3	2	5											
94	19	16	15	13	17	20	14	18	12	11	10	8	9	7	6	2	5	3	1	4											
95	4	2	3	1	5	6	7	8	9	11	12	18	17	19	20	13	10	15	14	16											
96	4	2	3	1	5	7	6	8	10	11	12	16	9	17	18	19	20	14	13	15											
97	4	2	3	1	5	6	12	11	14	19	18	17	20	16	15	8	7	10	9	13											
98	19	14	15	13	20	17	18	16	12	11	10	8	9	7	6	1	4	3	2	5											
99	19	18	20	16	17	14	15	13	12	11	9	8	10	7	6	1	3	4	2	5											
100	17	20	19	18	16	15	14	13	12	11	10	8	9	7	6	2	4	3	1	5											
101	17	20	19	18	16	15	14	13	12	11	10	8	9	7	6	2	4	3	1	5											
102	18	20	19	17	16	15	14	13	12	11	10	8	9	7	6	2	4	3	1	5											
103	4	2	3	1	5	7	6	8	16	15	20	18	13	19	17	12	14	10	9	11											
104	4	2	3	1	5	6	7	8	14	18	15	19	20	17	16	9	11	12	10	13											
105	19	18	20	16	17	14	15	13	12	11	10	8	9	7	6	1	3	4	2	5											
106	19	14	15	13	18	20	17	16	12	11	10	8	9	7	6	2	4	3	1	5											
107	4	2	3	1	5	7	6	8	10	12	16	17	9	19	18	15	20	13	11	14											
108	18	14	15	13	20	17	19	16	12	11	10	8	9	7	6	1	4	3	2	5											
109	20	15	16	13	19	17	18	14	12	11	10	8	9	7	6	1	4	3	2	5											
110	19	16	18	14	20	15	17	13	12	11	9	8	10	7	6	1	3	4	2	5											
111	17	20	19	18	16	15	14	13	12	11	10	8	9	7	6	2	4	3	1	5											
112	4	2	3	1	5	6	7	8	9	10	11	14	12	15	18	16	13	19	17	20											
113	17	13	14	10	16	19	18	20	15	12	11	8	9	7	6	2	5	3	1	4											
114	4	2	3	1	5	6	11	13	15	19	18	17	20	16	14	7	8	10	9	12											
115	18	14	15	13	19	17	20	16	12	11	10	8	9	7	6	1	3	4	2	5											
116	4	2	3	1	5	7	6	8	10	11	16	18	9	20	19	15	17	13	12	14											
117	18	14	15	11	19	17	20	16	12	13	9	8	10	7	6	1	3	4	2	5											
118	18	19	20	16	17	15	14	13	12	11	10	8	9	7	6	2	4	3	1	5											
119	19	17	20	16	18	14	15	13	12	11	10	8	9	7	6	1	3	4	2	5											
120	19	17	20	16	18	14	15	13	12	11	9	8	10	7	6	1	3	4	2	5											
121	20	17	16	13	18	19	15	14	12	11	10	8	9	7	6	2	4	3	1	5											
122	4	2	3	1	5	6	7	8	9	11	12	18	17	19	20	13	10	15	14	16											
123	4	2	3	1	5	6	7	8	9	10	11	13	12	14	15	20	16	19	17	18											
124	4	2	3	1	5	7	6	8	15	16	18	19	13	20	17	12	14	10	9	11											
125	4	2	3	1	5	6	7	8	14	17	15	19	20	18	16	10	9	12	11	13											
126	4	2	3	1	5	6	7	8	9	10	12	14	11	15	19	16	17	18	13	20											
127	4	2	3	1	5	6	7	8	16	19	20	18	14	17	15	10	12	11	9	13											
128	4	2	3	1	5	6	7	8	14	20	19	18	15	17	16	10	12	11	9	13											
129	17	14	15	13	18	20	19	16	12	11	10	8	9	7	6	2	4	3	1	5											
130	19	15	17	13	20	16	18	14	12	11	10	8	9	7	6	1	3	4	2	5											
131	4	2	3	1	5	7	6	13	18	20	19	17	15	16	14	9	12	10	8	11											
132	4	2	3	1	5	7	6	8	16	19	20	18	14	17	15	11	13	10	9	12											
133	4	2	3	1	5	6	9	10	14	19	18	17	20	16	15	7	8	12	11	13											
134	17	19	18	20	16	15	14	13	12	11	10	8	9	7	6	2	4	3	1	5											
135	4	2	3	1	5	6	7	8	14	16	15	19	20	18	17	10	9	12	11	13											
136	17	19	20	18	16	15	14	13	12	11	10	8	9	7	6	2	4	3	1	5											
137	4	2	3	1	5	6	7	8	14	20	18	17	19	16	15	9	11	12	10	13											
138	18	14	15	13	19	17	20	16	11	12	9	8	10	7	6	1	3	4	2	5											
139	20	17	19	15	18	16	14	13	12	11	10	8	9	7	6	2	4	3	1	5											
140	4	2	3	1	5	6	7	8	9	10	11	13	12	14	16	17	15	19	18	20											
141	4	2	3	1	5	11	9	13	20	18	19	17	14	16	15	7	12	8	6	10											
142	4	2	3	1	5	6	7	8	9	10	12	13	11	15	16	19	20	17	14	18											
143	20	15	18	13	19	16	17	14	12	11	10	8	9	7	6	1	4	3	2	5											
144	17	14	15	12	16	19	18	20	13	11	10	8	9	7	6	2	5	3	1	4											
145	17	18	19	20	16	15	14	13	12	11	10	8	9	7	6	1	4	3	2	5											
146	19	18	20	16	17	15	14	13	12	11	10	8	9	7	6	2	4	3	1	5											
147	4	2	3	1	5	7	6	8	17	15	20	19	14	18	16	11	13	10	9	12											
148	17	18	20	19	16	14	15	13	12	11	10	8	9	7	6	1	3	4	2	5											
149	4	2	3	1	5	9	10	13	19	20	18	16	17	15	14	7	11	8	6	12											
150	4	2	3	1	5	6	7	8	9	14	16	18	17	19	20	11	12	13	10	15											
151	4	2	3	1	5	6	7	8	9	10	11	14	13	15	17	16	12	19	18	20											
152	4	2	3	1	5	7	6	8	15	14	17	19	10	20	18	13	16	11	9	12											
153	4	2	3	1	5	7	6	8	9	11	12	16	10	17	18	19	20	14	13	15											
154	17	19	18	20	16	15	14	13	12	11	10	8	9	7	6	2	4	3	1	5											
155	19	14	16	13	20	17	18	15	12	11	10	8	9	7	6	1	3	4	2	5											
156	17	19	20	18	16	15	14	13	12	11	10	8	9	7	6	1	4	3	2	5											
157	16	13	14	10	17	19	18	20	15	12	11	8	9	7	6	2	4	3	1	5											
158	20	15	18	13	19	17	16	14	12	11	10	8	9	7	6	2	4	3	1	5											
159	20	16	18	14	19	15	17	13	12	11	10	8	9	7	6	1	3	4	2	5											
160	4	2	3	1	5	6	7	8	9	10	11	14	12	15	16	17	13	18	19	20											
161	4	2	3	1	5	6	7	8	9	10	13	18	11	19	20	15	17	14	12	16											
162	17	19	18	20	16	15	14	13	12	11	10	8	9	7	6	2	4	3	1	5											
163	18	14	16	13	20	17	19	15	11	12	9	8	10	7	6	1	3	4	2	5											
164	4	2	3	1	5	6	7	8	14	18	20	19	15	17	16	10	12	11	9	13											
165	4	2	3	1	5	6	7	8	9	10	11	13	12	14	15	20	17	19	16	18											
166	18	15	14	13	17	20	16	19	12	11	10	8	9	7	6	2	5	3	1	4											
167	18	15	14	13	17	20	16	19	12	11	10	8	9	7	6	2	5	3	1	4											
168	4	2	3	1	5	6	7	8	9	10	11	18	12	19	20	15	14	16	13	17											
169	4	2	3	1	5	7	6	13	20	18	19	17	14	16	15	9	12	10	8	11											
170	4	2	3	1	5	6	7	8	9	10	11	15	13	16	19	14	12	18	17	20											
171	17	19	18	20	16	15	14	13	12	11	10	8	9	7	6	2	5	3	1	4											
172	4	2	3	1	5	7	6	11	18	19	20	17	14	16	15	9	13	10	8	12											
173	4	2	3	1	5	10	9	13	19	20	18	17	15	16	14	7	12	8	6	11											
174	4	2	3	1	5	6	7	8	9	10	12	13	11	14	15	19	20	18	16	17											
175	4	2	3	1	5	6	7	8	9	10	12	13	11	14	15	20	19	18	16	17											
176	18	14	15	13	19	17	20	16	11	12	9	8	10	7	6	1	2	4	3	5											
177	19	20	17	15	16	18	13	14	12	11	10	8	9	7	6	2	5	3	1	4											
178	4	2	3	1	5	6	7	8	14	19	15	18	20	17	16	10	9	12	11	13											
179	17	19	18	20	16	15	14	13	12	11	10	8	9	7	6	2	4	3	1	5											
180	4	2	3	1	5	6	7	8	9	10	14	18	16	19	20	12	13	15	11	17											
181	18	15	14	12	16	19	17	20	13	11	10	8	9	7	6	2	5	3	1	4											
182	4	2	3	1	5	7	6	8	14	15	17	19	11	20	18	13	16	10	9	12											
183	4	2	3	1	5	7	6	8	9	10	12	13	11	14	15	19	20	18	16	17											
184	17	19	20	18	16	14	15	13	12	11	9	8	10	7	6	1	3	4	2	5											
185	4	2	3	1	5	6	7	8	9	10	11	13	12	14	15	20	18	19	16	17											
186	4	2	3	1	5	6	7	8	14	16	17	20	15	19	18	10	13	11	9	12											
187	4	2	3	1	5	6	7	8	10	16	17	19	15	20	18	11	14	12	9	13											
188	20	14	15	13	19	18	17	16	12	11	10	8	9	7	6	2	4	3	1	5											
189	4	2	3	1	5	7	6	8	15	16	20	19	14	18	17	11	13	10	9	12											
190	4	2	3	1	5	6	7	8	14	19	15	18	20	17	16	10	9	12	11	13											
191	4	2	3	1	5	6	7	8	14	16	19	20	15	18	17	10	12	11	9	13											
192	4	2	3	1	5	6	7	8	15	18	20	19	14	17	16	10	12	11	9	13											
193	16	13	15	10	17	18	19	20	14	12	11	8	9	7	6	2	4	3	1	5											
194	4	2	3	1	5	6	7	13	18	20	19	17	16	15	14	9	11	10	8	12											
195	4	2	3	1	5	6	7	8	10	15	17	19	14	20	18	12	16	11	9	13											
196	4	2	3	1	5	6	7	8	9	10	12	13	11	14	16	19	20	17	15	18											
197	4	2	3	1	5	6	7	8	15	20	19	17	18	16	14	10	11	12	9	13											
198	4	2	3	1	5	6	7	8	9	10	13	18	11	19	20	16	17	14	12	15											
199	18	14	15	13	19	17	20	16	11	12	9	8	10	7	6	1	3	4	2	5											
200	4	2	3	1	5	7	6	8	11	13	16	19	10	20	18	15	17	12	9	14											
201	18	20	17	15	16	19	13	14	12	11	10	8	9	7	6	2	5	3	1	4											
202	17	19	20	18	16	14	15	13	12	11	10	8	9	7	6	1	3	4	2	5											
203	4	2	3	1	5	7	6	8	15	16	20	19	14	18	17	11	13	10	9	12											
204	17	18	20	19	16	14	15	13	12	11	9	8	10	7	6	1	3	4	2	5											
205	4	2	3	1	5	6	7	8	14	15	16	20	17	19	18	10	11	12	9	13											
206	19	16	20	15	18	14	17	13	12	11	9	8	10	7	6	1	3	4	2	5											
207	4	2	3	1	5	8	11	13	18	20	19	16	17	15	14	7	10	9	6	12											
208	4	2	3	1	5	7	6	8	9	11	13	17	10	18	19	16	20	14	12	15											
209	18	20	19	16	17	15	14	13	12	11	10	8	9	7	6	2	4	3	1	5											
210	4	2	3	1	5	6	7	12	17	20	19	16	18	15	14	9	10	11	8	13											
211	4	2	3	1	5	8	6	13	20	18	19	17	14	16	15	10	12	9	7	11											
212	1				2	3	4	5	6	7	8	11	9	12	13	14	10	16	15	17	Wes Wellen (20)	Witen Wilders (19)	Wade Waters (18)								
213	4	2	3	1	5	6	7	8	9	10	12	13	11	14	15	20	17	19	16	18											
214	4	2	3	1	5	6	7	8	9	16	15	18	19	17	20	11	10	13	12	14											
215	4	2	3	1	5	6	7	8	9	10	11	13	12	14	15	17	16	19	18	20											
216	17	19	20	18	16	14	15	13	12	11	10	8	9	7	6	1	3	4	2	5											
217	4	2	3	1	5	7	6	8	10	11	14	17	9	19	18	16	20	13	12	15											
218	4	2	3	1	5	6	7	8	9	13	14	18	17	19	20	11	10	15	12	16											
219	4	2	3	1	5	6	7	8	9	10	11	13	12	14	15	17	16	19	20	18											
220	20	19	18	15	17	16	14	13	12	11	10	8	9	7	6	2	4	3	1	5											
221	4	2	3	1	5	6	7	8	15	16	20	19	14	18	17	10	13	11	9	12											
222	4	2	3	1	5	7	6	8	12	14	16	19	9	20	18	15	17	11	10	13											
223	17	19	20	18	16	14	15	13	12	11	9	8	10	7	6	1	3	4	2	5											
224	4	2	3	1	5	6	7	8	9	10	12	13	11	14	15	19	17	18	16	20											
225	4	2	3	1	5	6	7	8	9	15	16	19	17	18	20	10	11	13	12	14											
226	4	2	3	1	5	6	11	13	16	19	18	17	20	15	14	7	8	10	9	12											
227	4	2	3	1	5	7	6	8	9	11	15	18	10	19	20	16	17	13	12	14											
228	17	20	18	19	16	15	14	13	12	11	10	8	9	7	6	2	5	3	1	4											
229	19	17	16	13	18	20	14	15	12	11	10	8	9	7	6	2	5	3	1	4											
230	18	16	19	15	20	14	17	13	11	12	9	8	10	7	6	1	3	4	2	5											
231	18	17	20	15	19	14	16	13	12	11	9	8	10	7	6	1	3	4	2	5											
232	4	2	3	1	5	7	6	8	16	15	20	19	14	18	17	11	13	10	9	12											
233	4	2	3	1	5	6	7	12	16	20	18	17	19	15	14	8	10	11	9	13											
234	17	20	19	18	16	15	14	13	12	11	10	8	9	7	6	2	4	3	1	5											
235	4	2	3	1	5	6	7	8	9	12	11	17	19	18	20	13	10	15	14	16											
236	4	2	3	1	5	6	7	8	9	10	11	13	12	14	15	17	16	20	19	18											
237	17	20	18	19	16	15	14	13	12	11	10	8	9	7	6	2	4	3	1	5											
238	4	2	3	1	5	7	6	8	10	12	16	18	11	20	19	15	17	13	9	14											
239	17	20	19	18	16	15	14	13	12	11	10	8	9	7	6	2	4	3	1	5											
240	4	2	3	1	5	7	6	9	19	18	20	17	14	16	15	11	13	10	8	12											
241	20	14	16	13	19	18	17	15	12	11	10	8	9	7	6	2	4	3	1	5											
242	4	2	3	1	5	6	7	8	12	16	15	20	17	19	18	10	9	13	11	14											
243	17	19	20	18	16	14	15	13	12	11	9	8	10	7	6	1	3	4	2	5											
244	20	17	18	14	19	15	16	13	12	11	10	8	9	7	6	1	4	3	2	5											
245	4	2	3	1	5	6	7	8	9	10	11	13	12	14	15	17	16	19	20	18											
246	4	2	3	1	5	6	7	8	9	10	11	17	14	18	20	13	12	16	15	19											
247	17	14	15	13	19	18	20	16	12	11	10	8	9	7	6	1	4	3	2	5											
248	18	14	15	13	17	20	16	19	12	11	10	8	9	7	6	2	4	3	1	5											
249	4	2	3	1	5	11	9	13	20	19	18	17	15	16	14	7	12	8	6	10											
250	4	2	3	1	5	6	7	8	14	16	15	19	20	18	17	10	9	12	11	13											
251	4	2	3	1	5	6	7	11	15	20	18	17	19	16	14	8	9	12	10	13											
252	4	2	3	1	5	6	7	8	15	19	20	18	14	17	16	10	13	11	9	12											
253	19	16	15	13	18	20	14	17	12	11	10	8	9	7	6	2	5	3	1	4											
254	4	2	3	1	5	7	6	8	9	10	12	13	11	14	15	19	20	18	16	17											
255	4	2	3	1	5	6	7	8	9	10	11	13	12	14	16	17	15	18	20	19											
256	4	2	3	1	5	6	7	8	9	10	12	18	16	19	20	13	11	15	14	17											
257	4	2	3	1	5	6	7	8	13	16	15	19	20	17	18	10	9	12	11	14											
258	4	2	3	1	5	6	7	8	9	10	11	13	12	14	15	20	16	19	17	18											
259	4	2	3	1	5	6	7	8	9	15	14	18	20	17	19	11	10	13	12	16											
260	17	20	18	19	16	15	14	13	12	11	10	8	9	7	6	2	5	3	1	4											
261	17	20	19	18	16	15	14	13	12	11	10	8	9	7	6	2	4	3	1	5											
262	4	2	3	1	5	6	7	8	9	13	12	17	19	18	20	11	10	15	14	16											
263	4	2	3	1	5	6	7	8	14	20	19	17	18	16	15	10	11	12	9	13											
264	18	14	16	13	20	17	19	15	12	11	10	8	9	7	6	1	3	4	2	5											
265	4	2	3	1	5	6	7	8	9	10	12	13	11	14	15	19	20	18	16	17											
266	19	15	17	14	20	16	18	13	11	12	9	8	10	7	6	1	3	4	2	5											
267	18	13	15	9	19	17	20	16	12	14	10	8	11	7	6	1	2	4	3	5											
268	18	19	20	17	16	14	15	13	12	11	10	8	9	7	6	1	4	3	2	5											
269	4	2	3	1	5	6	7	10	18	20	19	17	15	16	14	9	12	11	8	13											
270	18	19	20	16	17	15	14	13	12	11	10	8	9	7	6	2	4	3	1	5											
271	4	2	3	1	5	6	7	8	9	10	13	18	12	19	20	14	15	16	11	17											
272	17	20	18	19	16	15	14	13	12	11	10	8	9	7	6	2	4	3	1	5											
273	4	2	3	1	5	8	6	13	20	18	19	17	14	16	15	9	12	10	7	11											
274	4	2	3	1	5	6	7	8	9	13	12	17	20	18	19	11	10	15	14	16											
275	4	2	3	1	5	6	7	8	13	15	16	20	17	19	18	9	11	12	10	14											
276	17	19	20	18	16	15	14	13	12	11	10	8	9	7	6	1	4	3	2	5											
277	4	2	3	1	5	7	6	8	9	11	12	14	10	17	18	19	20	16	13	15											
278	17	19	20	18	16	14	15	13	12	11	10	8	9	7	6	1	4	3	2	5											
279	4	2	3	1	5	6	7	8	9	10	12	17	11	18	20	16	19	14	13	15											
280	4	2	3	1	5	8	11	13	18	20	19	16	17	15	14	7	9	10	6	12											
281	17	18	20	19	16	14	15	13	12	11	10	8	9	7	6	1	4	3	2	5											
282	16	13	15	10	17	19	18	20	14	12	11	8	9	7	6	2	4	3	1	5											
283	18	14	15	13	19	17	20	16	11	12	9	8	10	7	6	1	3	4	2	5											
284	18	14	15	13	17	20	16	19	12	11	10	8	9	7	6	2	4	3	1	5											
285	4	2	3	1	5	7	6	8	9	10	12	13	11	14	16	19	20	18	15	17											
286	19	15	17	14	20	16	18	13	12	11	9	8	10	7	6	1	3	4	2	5											
287	20	16	17	13	19	18	15	14	12	11	10	8	9	7	6	2	4	3	1	5											
288	19	18	16	14	17	20	13	15	12	11	10	8	9	7	6	2	5	3	1	4											
289	4	2	3	1	5	11	9	13	20	18	19	17	14	16	15	8	12	7	6	10											
290	4	2	3	1	5	7	6	8	9	11	12	14	10	15	18	19	20	17	13	16											
291	4	2	3	1	5	6	7	8	14	19	15	18	20	17	16	10	9	12	11	13											
292	16	14	15	11	18	19	20	17	13	12	10	8	9	7	6	1	4	3	2	5											
293	20	16	18	14	19	15	17	13	12	11	10	8	9	7	6	1	3	4	2	5											
294	16	14	15	11	17	20	18	19	13	12	10	8	9	7	6	2	4	3	1	5											
295	4	2	3	1	5	6	7	8	14	15	17	20	16	19	18	10	11	12	9	13											
296	17	18	20	19	16	14	15	13	12	11	10	8	9	7	6	1	3	4	2	5											
297	19	17	20	15	18	14	16	13	12	11	10	8	9	7	6	1	3	4	2	5											
298	4	2	3	1	5	6	7	8	9	10	11	13	12	14	16	17	15	19	18	20											
299	18	19	20	16	17	14	15	13	12	11	9	8	10	7	6	1	3	4	2	5											
300	4	2	3	1	5	7	6	9	19	18	20	17	14	16	15	11	13	10	8	12											
301	4	2	3	1	5	6	7	8	9	10	12	18	11	19	20	15	17	14	13	16											
302	20	15	18	13	19	16	17	14	12	11	10	8	9	7	6	1	3	4	2	5											
303																					Wade Waters (20)										
304	4	2	3	1	5	6	7	8	14	19	17	20	16	18	15	10	11	12	9	13											
305	4	2	3	1	5	6	7	8	14	19	16	18	20	17	15	9	10	12	11	13											
306	4	2	3	1	5	6	7	8	9	10	11	13	12	16	18	17	14	19	15	20											
307	4	2	3	1	5	7	6	12	19	18	20	17	14	16	15	10	13	9	8	11											
308	4	2	3	1	5	6	7	8	11	16	15	18	20	17	19	10	9	13	12	14											
309	4	2	3	1	5	6	7	8	9	10	11	15	14	16	17	13	12	19	18	20											
310	4	2	3	1	5	6	7	8	9	10	11	13	12	14	15	18	16	19	17	20											
311	4	2	3	1	5	7	6	8	9	10	12	13	11	14	15	19	20	18	16	17											
312	4	2	3	1	5	6	7	8	14	16	15	20	18	19	17	9	11	12	10	13											
